modern,original
"Here I'm kneeling to swear that if I ever did anything to destroy his love for me , either by thoughts or actions , or if I ever took pleasure in anyone else , or if I never did love him , or don't love him now , even though he tries to shake me off ,","Here I kneel : If e'er my will did trespass 'gainst his love , Either in discourse of thought or actual deed , Or that mine eyes , mine ears , or any sense , Delighted them , or any other form , Or that I do not yet , and ever did ,"
The sun will not appear today .,The sun will not be seen today .
My vision is dull .,This a dull sight .
Our troops are deployed tomorrow .,Our troops set forth tomorrow .
"What if I had a rat in my house , and I felt like paying ten thousand ducats to have it exterminated ?",What if my house be troubled with a rat And I be pleased to give ten thousand ducats To have it baned ?
"Rest assured that we're going there to use our hands , not our tongues .",Be assured We go to use our hands and not our tongues .
What are you doing here ?,"Why , what make you here ?"
I've brought him a present .,I have brought him a present .
"Dear Sir Toby , don't do anything rash tonight .","Sweet Sir Toby , be patient for tonight ."
"Hey , let's have some music here !","Come , some music !"
"Gentleman , I am not the same man I was before .","Gallants , I am not as I have been ."
Do you think they're married ?,"Are they married , think you ?"
"He was very upset that Fortinbras had taken advantage of his being old and sick to deceive him , and he ordered Fortinbras's arrest .","Whereat grieved , That so his sickness , age , and impotence Was falsely borne in hand , sends out arrests On Fortinbras , which he , in brief , obeys , Receives rebuke from Norway , and in fine Makes vow before his uncle never more To give th ' assay of arms against your majesty ."
"If not , what can you do about it ?","If it will not , what remedy ?"
Yes Signior ?,Signior ?
"Dear Mr. Fabian , do me another favor first .","Good Master Fabian , grant me another request ."
The sweetest nut has the sourest rind And Rosalind is that kind of nut .,Sweetest nut hath sourest rind ; Such a nut is Rosalind .
"Yes , go ahead and moan , because you killed the sweetest , most innocent woman who ever lived !","Nay , lay thee down and roar , For thou hast killed the sweetest innocent That e'er did lift up eye ."
"Yes , I know her age down to the hour .","Faith , I can tell her age unto an hour ."
"My strength is all gone , as if in a dream .","My spirits , as in a dream , are all bound up ."
She's probably right .,She doth well .
"Yes , now I'm in Arden , and that makes me the bigger fool .","Ay , now am I in Arden , the more fool I ."
"My God , it's morning .","In troth , 'tis morning ."
"My lady , will you have a dance with me ?","Lady , will you walk a bout with your friend ?"
"Yes , but that makes me love you even more .",And even for that do I love you the more .
"Wise men who give fools money might get a good reputation , if they keep up regular payments for fourteen years .","These wise men that give fools money get themselves a good report , after fourteen years ' purchase ."
As I came down ?,As I descended ?
"By my sword , Beatrice , you love me .","By my sword , Beatrice , thou lovest me ."
The world doesn't make laws to make you rich .,The world affords no law to make thee rich .
"Look , here he comes .","Lo , where he comes !"
Imagine the French ambassador returning to inform Harry that the king offers him,"Suppose th ' Ambassador from the French comes back , Tells Harry that the king doth offer him"
You call this house dark ?,Sayest thou that house is dark ?
Keep an eye on Cinna .,Have an eye to Cinna .
Take it easy !,Will you let it fall ?
since you cover my badness and accept my goodness,so you overgreen my bad my good allow
Pick up the corpses .,Take up the bodies .
but is defiled or if not then it lives in disgrace,but is profaned if not lives in disgrace
you who are black as hell and dark as night,who art as black as hell as dark as night
What do you want from me ?,What wouldst thou with us ?
I'm not myself .,"Tut , I have lost myself ."
I'm going to laugh myself to death over this silly monster .,I shall laugh myself to death at this puppy-headed monster .
it is not afraid of strategy that heretic,it fears not policy that heretic
i am unhappy only for this reason that you can take,wretched in this alone that thou mayst take
Please tell me .,"What are they , beseech your ladyship ?"
i believe her although i know she is lying,i do believe her though i know she lies
I'm afraid the people have made Caesar their king .,"I do fear , the people Choose Caesar for their king ."
I'll take no lesser name than that of Something that refers to my current state .,"I'll have no worse a name than Jove's own page , And therefore look you call me Ganymede ."
No .,No .
answer me muse wont you perhaps say,make answer muse wilt thou not haply say
Here comes Kent .,Here comes Kent .
Does that mean he's lazy ?,And therefore is he idle ?
Is this face Hero's ?,Is this face Hero's ?
"One last thing , and this is up to you .","One thing more rests , that thyself execute , to make one among these wooers ."
Please stand up !,"Pray you , sir , stand up ."
in loving you i know i am being unfaithful,in loving thee thou know'st i am forsworn
"While we're talking here , a royal battle could be won and lost .","While we reason here , A royal battle might be won and lost ."
"Our action will seem too bloody if we cut off Caesar's head and then hack at his arms and legs too , Caius Cassius , because Mark Antony is merely one of Caesar's arms .","Our course will seem too bloody , Caius Cassius , To cut the head off and then hack the limbs , Like wrath in death and envy afterwards , For Antony is but a limb of Caesar ."
